#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime
AM|R0F23|27.685|84.0868|525.0|Raspberry Shake Citizen Science Station|2021-02-23T09:57:41|2021-02-23T10:03:31
AM|R0F23|27.685|84.0868|516.0|Raspberry Shake Citizen Science Station|2021-02-23T10:03:31|2599-12-31T23:59:59
AM|R1AA8|28.2107|83.9935|846.0|Raspberry Shake Citizen Science Station|2020-11-24T16:03:46|2020-11-24T16:33:23
AM|R1AA8|29.5537|81.1227|2525.0|Raspberry Shake Citizen Science Station|2020-11-24T16:52:39|2020-11-28T06:05:39
AM|R1AA8|29.0954|83.9302|3588.0|Raspberry Shake Citizen Science Station|2020-11-28T06:05:39|2020-12-21T17:00:46
AM|R1AA8|29.0954|83.9302|3588.0|Raspberry Shake Citizen Science Station|2021-02-01T09:10:16|2021-02-03T17:00:44
AM|R1C03|31.7086|76.9305|763.0|Raspberry Shake Citizen Science Station|2019-06-24T12:34:30|2019-06-26T17:00:05
AM|R1C03|31.7086|76.9305|763.0|Raspberry Shake Citizen Science Station|2019-06-27T11:40:16|2019-06-27T17:00:02
AM|R1C03|31.7086|76.9305|763.0|Raspberry Shake Citizen Science Station|2019-07-01T11:44:21|2019-07-01T12:10:38
AM|R1C03|31.7097|76.9306|757.0|Raspberry Shake Citizen Science Station|2019-07-01T12:10:38|2019-07-01T17:00:04
AM|R2AE2|27.8695|83.5488|1332.0|Raspberry Shake Citizen Science Station|2019-05-03T12:08:47|2019-08-24T17:00:07
AM|R2AE2|27.8695|83.5488|1332.0|Raspberry Shake Citizen Science Station|2019-08-27T07:09:14|2020-09-25T17:00:38
AM|R2AE2|27.8695|83.5488|1332.0|Raspberry Shake Citizen Science Station|2020-10-06T06:49:50|2599-12-31T23:59:59
AM|R2D97|28.0684|83.2518|1537.0|Raspberry Shake Citizen Science Station|2019-05-02T11:12:05|2019-07-03T17:00:10
AM|R2D97|28.0684|83.2518|1537.0|Raspberry Shake Citizen Science Station|2019-07-04T11:06:44|2019-07-21T17:00:19
AM|R2D97|28.0684|83.2518|1537.0|Raspberry Shake Citizen Science Station|2019-07-26T09:31:46|2019-08-09T17:00:19
AM|R2D97|28.0684|83.2518|1537.0|Raspberry Shake Citizen Science Station|2019-08-13T10:48:39|2020-05-20T17:00:39
AM|R2D97|28.0684|83.2518|1537.0|Raspberry Shake Citizen Science Station|2020-05-27T06:17:50|2021-02-28T17:01:16
AM|R3B1E|28.7835|83.7382|2728.0|Raspberry Shake Citizen Science Station|2020-12-16T04:59:31|2020-12-24T16:25:22
AM|R3B1E|28.5518|84.2409|2685.0|Raspberry Shake Citizen Science Station|2020-12-24T16:25:22|2020-12-24T16:53:40
AM|R3B1E|28.7835|83.7382|2728.0|Raspberry Shake Citizen Science Station|2020-12-24T16:53:40|2021-02-14T08:34:35
AM|R43A3|27.9775|83.1218|971.0|Raspberry Shake Citizen Science Station|2019-05-04T12:27:28|2020-03-01T17:00:17
